City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,montevideo,-34.8335,-56.1674,14.84,77,0,9.22,UY,1685909559
83,ambatondrazaka,-17.8333,48.4167,14.52,96,32,4.32,MG,1685909745
84,bantay,17.5847,120.3892,26.25,85,100,4.25,PH,1685909745
85,enewetak,11.3474,162.3373,27.82,77,92,12.17,MH,1685909745
86,vila franca do campo,37.7167,-25.4333,21.23,86,28,7.4,PT,1685909745
87,sur,22.5667,59.5289,33.16,46,0,12.1,OM,1685909746
88,whitehorse,60.7161,-135.0538,17.23,42,99,4.0,CA,1685909468
89,anadyr,64.75,177.4833,6.67,61,0,17.9,RU,1685909746
90,sisimiut,66.9395,-53.6735,0.94,69,28,10.31,GL,1685909746
91,gargalianoi,37.0667,21.6333,20.75,81,0,4.45,GR,1685909747
92,beckley,37.7782,-81.1882,27.94,64,75,11.5,US,1685909747
93,albany,42.6001,-73.9662,17.47,52,94,3.0,US,1685909632
94,lensk,60.7253,114.9278,5.16,79,94,5.03,RU,1685909747
95,geraldton,-28.7667,114.6,18.23,77,75,13.8,AU,1685909559
96,illizi,26.4833,8.4667,32.5,10,0,8.1,DZ,1685909748
97,mahibadhoo,3.7833,72.9667,28.28,77,100,18.66,MV,1685909749
98,paphos,34.7667,32.4167,19.88,77,20,3.44,CY,1685909531
99,tobruk,32.0836,23.9764,21.0,73,77,6.49,LY,1685909749
100,porto velho,-8.7619,-63.9039,32.03,55,40,6.91,BR,1685909750
101,kertih,4.5141,103.4483,25.54,91,100,3.44,MY,1685909750
102,hermanus,-34.4187,19.2345,11.0,67,100,22.39,ZA,1685909750
103,wailua homesteads,22.0669,-159.378,26.24,74,20,8.05,US,1685909750
104,mount pearl,47.5166,-52.7813,5.19,97,100,10.36,CA,1685909751
105,hawaiian paradise park,19.5933,-154.9731,25.73,78,75,6.91,US,1685909751
106,sao jose da coroa grande,-8.8978,-35.1478,26.16,79,9,11.05,BR,1685909751
107,richards bay,-28.783,32.0377,18.91,80,100,5.14,ZA,1685909707
108,cooma,-36.2333,149.1333,3.17,97,100,3.44,AU,1685909752
109,fort bragg,35.139,-79.006,22.89,62,40,9.22,US,1685909752
110,afaahiti,-17.75,-149.2833,25.93,72,81,11.14,PF,1685909752
111,mahina,-17.5065,-149.489,26.87,65,40,5.75,PF,1685909753
112,tiksi,71.6872,128.8694,0.81,98,100,3.67,RU,1685909753
113,sidi khaled,34.387,4.9879,27.27,41,78,12.08,DZ,1685909753
114,atafu village,-8.5421,-172.5159,28.5,76,22,14.05,TK,1685909753
115,alma,48.5501,-71.6491,21.17,31,0,5.03,CA,1685909754
116,glace bay,46.1969,-59.957,7.25,96,100,13.8,CA,1685909754
117,fort st. john,56.2499,-120.8529,17.94,39,20,24.16,CA,1685909556
118,pathalgaon,22.5667,83.4667,26.59,50,98,1.57,IN,1685909754
119,melenci,45.5139,20.3172,14.97,75,92,8.23,RS,1685909755
120,mogocha,53.7333,119.7667,10.01,80,100,2.91,RU,1685909755
121,christchurch,-43.5333,172.6333,6.64,81,100,8.05,NZ,1685909755
